iter	Passed	Remaining
0	0	63
1	1	54
2	1	50
3	1	45
4	2	44
5	2	43
6	3	42
7	3	42
8	4	41
9	4	40
10	4	39
11	5	39
12	5	38
13	6	37
14	6	37
15	7	36
16	7	36
17	7	35
18	8	35
19	8	34
20	9	34
21	9	33
22	10	33
23	10	33
24	10	32
25	11	32
26	11	31
27	12	31
28	12	30
29	13	30
30	13	29
31	13	29
32	14	29
33	14	28
34	15	28
35	15	27
36	15	27
37	16	26
38	16	26
39	17	25
40	17	25
41	17	24
42	18	24
43	18	23
44	19	23
45	19	22
46	19	22
47	20	22
48	20	21
49	21	21
50	21	20
51	22	20
52	22	20
53	23	19
54	23	19
55	23	18
56	24	18
57	24	17
58	25	17
59	25	17
60	26	16
61	26	16
62	27	15
63	27	15
64	28	15
65	28	14
66	29	14
67	29	14
68	30	13
69	30	13
70	31	12
71	31	12
72	32	12
73	33	11
74	33	11
75	34	10
76	34	10
77	35	9
78	35	9
79	35	8
80	36	8
81	36	8
82	37	7
83	37	7
84	38	6
85	38	6
86	39	5
87	39	5
88	40	4
89	40	4
90	40	4
91	41	3
92	41	3
93	42	2
94	42	2
95	42	1
96	43	1
97	43	0
98	44	0
99	44	0
