iter	Passed	Remaining
0	145	145670
1	147	73354
2	148	49191
3	149	37102
4	149	29835
5	150	25011
6	152	21571
7	153	18990
8	154	16987
9	155	15370
10	156	14049
11	157	12942
12	158	12005
13	159	11221
14	160	10533
15	161	9926
16	162	9400
17	163	8935
18	165	8525
19	166	8143
20	167	7815
21	168	7508
22	170	7226
23	171	6972
24	172	6728
25	173	6507
26	174	6299
27	175	6108
28	177	5929
29	178	5758
30	179	5604
31	180	5459
32	181	5320
33	182	5194
34	183	5072
35	184	4950
36	185	4840
37	187	4738
38	188	4647
39	189	4551
40	190	4464
41	192	4391
42	193	4314
43	195	4242
44	196	4171
45	197	4105
46	199	4038
47	200	3979
48	201	3920
49	203	3858
50	204	3799
51	205	3747
52	206	3695
53	208	3644
54	209	3594
55	210	3546
56	211	3500
57	212	3457
58	214	3413
59	215	3369
60	216	3330
61	217	3292
62	218	3256
63	220	3220
64	221	3184
65	222	3152
66	224	3124
67	226	3100
68	227	3069
69	228	3037
70	229	3007
71	231	2977
72	232	2946
73	233	2917
74	234	2889
75	235	2862
76	236	2838
77	237	2811
78	239	2787
79	240	2761
80	241	2738
81	242	2718
82	243	2691
83	244	2667
84	245	2646
85	247	2626
86	248	2607
87	249	2586
88	250	2567
89	251	2547
90	253	2527
91	254	2512
92	256	2496
93	257	2479
94	258	2461
95	259	2443
96	260	2429
97	262	2413
98	263	2397
99	264	2380
100	265	2364
101	267	2350
102	268	2336
103	269	2320
104	270	2306
105	271	2292
106	273	2278
107	274	2265
108	275	2252
109	276	2240
110	278	2227
111	279	2214
112	280	2201
113	281	2188
114	282	2177
115	284	2164
116	285	2151
117	286	2141
118	287	2130
119	289	2119
120	290	2108
121	291	2096
122	292	2087
123	293	2075
124	295	2067
125	296	2057
126	297	2047
127	299	2040
128	300	2030
129	302	2021
130	303	2012
131	304	2004
132	306	1995
133	307	1985
134	308	1978
135	310	1970
136	311	1963
137	313	1955
138	314	1947
139	315	1938
140	316	1931
141	317	1920
142	319	1914
143	320	1906
144	322	1899
145	323	1890
146	324	1882
147	325	1873
148	326	1867
149	328	1859
150	329	1851
151	330	1844
152	331	1837
153	333	1830
154	334	1823
155	335	1817
156	337	1811
157	338	1805
158	340	1801
159	342	1797
160	343	1788
161	344	1784
162	346	1778
163	347	1772
164	349	1766
165	350	1760
166	352	1756
167	353	1751
168	355	1746
169	356	1742
170	358	1737
171	359	1732
172	361	1727
173	362	1722
174	364	1718
175	366	1714
176	367	1708
177	368	1703
178	370	1697
179	371	1692
180	373	1687
181	374	1682
182	375	1676
183	376	1670
184	378	1666
185	379	1661
186	381	1656
187	382	1652
188	383	1647
189	385	1643
190	386	1638
191	388	1633
192	389	1628
193	391	1625
194	392	1621
195	393	1615
196	395	1611
197	396	1607
198	398	1603
199	399	1598
200	400	1593
201	402	1588
202	403	1585
203	405	1581
204	406	1577
205	408	1573
206	409	1568
207	411	1565
208	412	1560
209	413	1555
210	414	1551
211	416	1547
212	417	1543
213	419	1539
214	420	1535
215	421	1531
216	423	1527
217	424	1523
218	426	1519
219	427	1516
220	429	1513
221	430	1510
222	432	1505
223	433	1502
224	435	1498
225	436	1495
226	438	1492
227	439	1488
228	440	1484
229	442	1481
230	443	1477
231	445	1475
232	447	1473
233	449	1470
234	450	1467
235	452	1465
236	454	1464
237	456	1461
238	458	1459
239	459	1456
240	461	1452
241	462	1449
242	464	1447
243	466	1444
244	467	1441
245	469	1437
246	470	1435
247	472	1432
248	473	1428
249	475	1425
250	476	1422
251	478	1419
252	479	1415
253	480	1412
254	482	1408
255	483	1404
256	484	1401
257	486	1398
258	487	1394
259	488	1391
260	490	1388
261	491	1385
262	493	1382
263	495	1380
264	496	1377
265	498	1375
266	500	1373
267	501	1370
268	503	1368
269	505	1365
270	507	1364
271	508	1361
272	510	1358
273	511	1356
274	513	1354
275	515	1351
276	517	1349
277	519	1347
278	520	1346
279	522	1344
280	524	1342
281	526	1340
282	528	1339
283	530	1337
284	532	1336
285	534	1334
286	536	1332
287	538	1330
288	539	1328
289	541	1325
290	542	1322
291	544	1321
292	546	1318
293	547	1314
294	548	1311
295	550	1310
296	552	1307
297	553	1304
298	555	1301
299	556	1298
300	558	1296
301	559	1292
302	560	1289
303	562	1287
304	564	1285
305	565	1282
306	566	1279
307	568	1276
308	569	1274
309	571	1271
310	572	1268
311	573	1265
312	575	1263
313	577	1260
314	578	1258
315	580	1255
316	581	1253
317	583	1250
318	584	1248
319	586	1245
320	587	1243
321	589	1241
322	590	1238
323	592	1235
324	593	1233
325	595	1230
326	596	1228
327	598	1226
328	600	1223
329	601	1221
330	603	1219
331	604	1216
332	606	1214
333	607	1212
334	609	1209
335	610	1206
336	612	1204
337	613	1202
338	615	1199
339	620	1203
340	626	1210
341	628	1208
342	630	1207
343	632	1205
344	634	1204
345	636	1202
346	638	1201
347	640	1199
348	641	1197
349	644	1197
350	646	1195
351	649	1194
352	650	1192
353	653	1191
354	657	1194
355	659	1193
356	662	1193
357	663	1190
358	665	1188
359	668	1188
360	670	1187
361	672	1185
362	674	1184
363	676	1182
364	678	1179
365	680	1178
366	682	1176
367	683	1174
368	686	1174
369	688	1172
370	690	1170
371	692	1169
372	694	1168
373	696	1165
374	698	1163
375	700	1161
376	701	1159
377	703	1156
378	704	1154
379	706	1152
380	707	1149
381	709	1147
382	712	1147
383	714	1145
384	715	1143
385	719	1143
386	720	1141
387	722	1139
388	724	1137
389	725	1135
390	727	1132
391	728	1130
392	730	1127
393	731	1125
394	733	1122
395	734	1120
396	736	1118
397	737	1115
398	739	1113
399	740	1110
400	742	1109
401	744	1106
402	745	1104
403	746	1101
404	748	1099
405	750	1097
406	751	1095
407	753	1092
408	754	1090
409	756	1088
410	757	1085
411	759	1083
412	760	1080
413	761	1078
414	763	1075
415	764	1073
416	766	1071
417	767	1068
418	768	1066
419	770	1063
420	771	1060
421	772	1058
422	774	1055
423	775	1053
424	776	1050
425	778	1048
426	779	1046
427	780	1043
428	782	1041
429	783	1038
430	785	1036
431	786	1034
432	787	1031
433	788	1028
434	790	1026
435	791	1024
436	793	1021
437	794	1019
438	795	1016
439	797	1014
440	798	1012
441	799	1009
442	801	1007
443	802	1004
444	803	1002
445	805	1000
446	806	997
447	807	995
448	809	993
449	810	991
450	812	988
451	813	986
452	814	983
453	817	983
454	819	981
455	820	979
456	822	976
457	823	975
458	825	972
459	826	970
460	828	968
461	830	966
462	831	964
463	832	961
464	834	960
465	836	958
466	838	956
467	839	954
468	841	952
469	842	950
470	844	948
471	846	946
472	847	944
473	849	942
474	850	940
475	852	938
476	854	936
477	855	934
478	857	932
479	858	930
480	860	928
481	861	926
482	863	924
483	864	922
484	866	920
485	868	918
486	869	916
487	871	914
488	873	912
489	875	910
490	876	908
491	878	907
492	880	905
493	882	903
494	883	901
495	885	899
496	886	897
497	887	895
498	889	893
499	890	890
500	892	889
501	894	886
502	895	884
503	897	883
504	899	881
505	900	879
506	901	877
507	903	875
508	905	873
509	906	871
510	908	868
511	909	867
512	911	865
513	912	863
514	914	860
515	915	858
516	917	856
517	918	854
518	919	852
519	920	850
520	922	848
521	924	846
522	925	843
523	926	841
524	928	839
525	929	837
526	930	835
527	932	833
528	933	831
529	935	829
530	936	827
531	938	825
532	939	823
533	941	821
534	942	818
535	943	816
536	945	814
537	946	812
538	948	810
539	949	808
540	950	806
541	952	804
542	953	802
543	955	800
544	956	798
545	958	797
546	960	795
547	961	793
548	963	791
549	965	790
550	967	788
551	968	786
552	970	784
553	972	782
554	973	780
555	975	778
556	977	777
557	978	775
558	980	773
559	981	771
560	983	769
561	984	767
562	986	765
563	987	763
564	989	761
565	990	759
566	992	757
567	993	755
568	994	753
569	996	751
570	997	749
571	999	747
572	1000	745
573	1002	744
574	1004	742
575	1006	740
576	1007	738
577	1009	736
578	1010	734
579	1011	732
580	1013	730
581	1014	728
582	1016	727
583	1017	725
584	1019	723
585	1020	721
586	1022	719
587	1023	717
588	1025	715
589	1026	713
590	1028	711
591	1029	709
592	1031	707
593	1032	705
594	1033	703
595	1035	701
596	1036	699
597	1037	697
598	1039	696
599	1041	694
600	1042	692
601	1043	690
602	1045	688
603	1046	686
604	1047	684
605	1049	682
606	1050	680
607	1052	678
608	1053	676
609	1055	674
610	1056	672
611	1058	670
612	1059	668
613	1060	666
614	1062	664
615	1063	662
616	1064	661
617	1066	659
618	1067	657
619	1069	655
620	1070	653
621	1071	651
622	1072	649
623	1074	647
624	1075	645
625	1077	643
626	1078	641
627	1079	639
628	1081	637
629	1082	635
630	1083	633
631	1085	631
632	1086	629
633	1087	628
634	1089	626
635	1090	624
636	1092	622
637	1093	620
638	1095	619
639	1097	617
640	1098	615
641	1100	613
642	1101	611
643	1103	609
644	1104	607
645	1106	606
646	1107	604
647	1108	602
648	1110	600
649	1111	598
650	1113	596
651	1114	594
652	1115	593
653	1117	591
654	1119	589
655	1120	587
656	1121	585
657	1123	583
658	1124	581
659	1126	580
660	1127	578
661	1128	576
662	1130	574
663	1131	572
664	1132	570
665	1134	568
666	1135	566
667	1136	565
668	1138	563
669	1139	561
670	1140	559
671	1142	557
672	1143	555
673	1145	553
674	1146	551
675	1147	550
676	1149	548
677	1150	546
678	1151	544
679	1153	542
680	1154	540
681	1155	538
682	1156	536
683	1158	535
684	1159	533
685	1160	531
686	1162	529
687	1163	527
688	1164	525
689	1165	523
690	1167	521
691	1168	520
692	1169	518
693	1171	516
694	1172	514
695	1173	512
696	1174	510
697	1175	508
698	1176	506
699	1177	504
700	1179	502
701	1180	501
702	1182	499
703	1183	497
704	1184	495
705	1185	493
706	1186	491
707	1188	489
708	1189	488
709	1190	486
710	1191	484
711	1193	482
712	1194	480
713	1196	479
714	1197	477
715	1198	475
716	1200	473
717	1201	471
718	1202	470
719	1204	468
720	1206	466
721	1207	464
722	1208	463
723	1210	461
724	1212	459
725	1213	458
726	1215	456
727	1216	454
728	1218	452
729	1219	451
730	1221	449
731	1222	447
732	1224	446
733	1225	444
734	1227	442
735	1228	440
736	1230	439
737	1232	437
738	1233	435
739	1235	434
740	1237	432
741	1239	430
742	1241	429
743	1242	427
744	1244	426
745	1246	424
746	1248	422
747	1250	421
748	1251	419
749	1254	418
750	1256	416
751	1258	414
752	1260	413
753	1262	411
754	1264	410
755	1265	408
756	1268	407
757	1270	405
758	1272	403
759	1274	402
760	1276	400
761	1278	399
762	1279	397
763	1282	396
764	1284	394
765	1286	393
766	1288	391
767	1290	389
768	1292	388
769	1294	386
770	1297	385
771	1299	383
772	1301	382
773	1303	380
774	1305	379
775	1307	377
776	1310	375
777	1312	374
778	1314	372
779	1316	371
780	1318	369
781	1320	368
782	1322	366
783	1325	365
784	1327	363
785	1329	362
786	1331	360
787	1334	359
788	1337	357
789	1339	356
790	1342	354
791	1344	353
792	1347	351
793	1349	350
794	1351	348
795	1354	347
796	1357	345
797	1360	344
798	1362	342
799	1365	341
800	1368	339
801	1370	338
802	1373	336
803	1375	335
804	1377	333
805	1380	332
806	1383	330
807	1386	329
808	1388	327
809	1391	326
810	1394	324
811	1397	323
812	1400	322
813	1404	320
814	1407	319
815	1410	317
816	1413	316
817	1415	314
818	1419	313
819	1423	312
820	1428	311
821	1431	309
822	1434	308
823	1437	306
824	1440	305
825	1442	303
826	1445	302
827	1448	300
828	1451	299
829	1454	297
830	1457	296
831	1460	294
832	1463	293
833	1467	292
834	1470	290
835	1473	289
836	1477	287
837	1480	286
838	1483	284
839	1486	283
840	1489	281
841	1491	279
842	1494	278
843	1497	276
844	1500	275
845	1503	273
846	1506	272
847	1509	270
848	1512	269
849	1515	267
850	1518	265
851	1520	264
852	1524	262
853	1527	261
854	1529	259
855	1533	257
856	1535	256
857	1538	254
858	1541	253
859	1544	251
860	1547	249
861	1551	248
862	1554	246
863	1557	245
864	1560	243
865	1563	241
866	1566	240
867	1569	238
868	1572	237
869	1575	235
870	1578	233
871	1581	232
872	1584	230
873	1587	228
874	1590	227
875	1593	225
876	1596	223
877	1599	222
878	1602	220
879	1604	218
880	1607	217
881	1611	215
882	1614	213
883	1617	212
884	1620	210
885	1622	208
886	1626	207
887	1628	205
888	1632	203
